Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:00:48.091218,15:00:50.541085,-1,0.15870703362207905
1,15:00:48.091218,15:00:51.153169,1,-2.796619346380423
1,15:00:48.091218,15:00:52.107839,-1,-3.75977875862054
1,15:00:48.091218,15:00:52.354321,-1,0.7739851707459138
1,15:00:48.091218,15:00:52.996277,-1,-2.3254902736204586
1,15:00:48.091218,15:00:53.848898,-1,-4.00185699786283
1,15:00:48.091218,15:00:54.457918,-1,-3.361835824259771
1,15:00:48.091218,15:00:55.101915,1,-2.568516385490102
1,15:00:48.091218,15:00:55.403452,1,-1.818295564813002
1,15:00:48.091218,15:00:55.695672,1,-3.4215866716985657
1,15:00:48.091218,15:00:55.938159,1,-3.0010698244017986
1,15:00:48.091218,15:00:56.297645,1,-4.850706944581378
1,15:00:48.091218,15:00:56.863175,1,-1.9874183862942403
1,15:00:48.091218,15:00:57.337135,1,-2.486738102758596
1,15:00:48.091218,15:00:58.387327,-1,-5.958117048250574
1,15:00:48.091218,15:00:58.763745,-1,-6.282119101891612
1,15:00:48.091218,15:00:59.057614,-1,-3.1813012593911933
1,15:00:48.091218,15:00:59.302063,-1,-7.59125883782325
1,15:00:48.091218,15:00:59.603722,-1,-6.928229937833225
1,15:00:48.091218,15:00:59.893967,-1,-0.4234242428875905
1,15:00:48.091218,15:01:00.622440,-1,-2.8459361953207165
1,15:00:48.091218,15:01:00.933430,1,-4.918235221928444
1,15:00:48.091218,15:01:01.231686,1,-8.318495064727006
1,15:00:48.091218,15:01:01.613245,-1,-8.623983704098226
1,15:00:48.091218,15:01:01.905372,-1,-7.966182992619781
1,15:00:48.091218,15:01:02.073654,-1,-1.8407953507459638
1,15:00:48.091218,15:01:02.270004,-1,-6.56758053205765
1,15:00:48.091218,15:01:02.482267,-1,-0.7753355021675066
1,15:00:48.091218,15:01:02.698551,-1,-2.660944507449783
1,15:00:48.091218,15:01:02.997029,-1,-1.8950141770168898
1,15:00:48.091218,15:01:03.192196,-1,-6.252145906827695
1,15:00:48.091218,15:01:03.415096,-1,-1.1039641662170812
1,15:00:48.091218,15:01:03.706600,-1,-3.0576297946235216
1,15:00:48.091218,15:01:03.918947,-1,-2.3052548965274013
1,15:00:48.091218,15:01:04.214697,-1,-9.568048651532866
1,15:00:48.091218,15:01:04.429348,-1,-1.6154648044679039
1,15:00:48.091218,15:01:04.719216,-1,-3.1889077752011006
1,15:00:48.091218,15:01:04.931580,-1,-2.638890136604118
1,15:00:48.091218,15:01:05.183082,-1,-7.249843912857659
1,15:00:48.091218,15:01:05.512369,-1,-1.9835228126245557
1,15:00:48.091218,15:01:05.812640,-1,-3.4722932848361823
1,15:00:48.091218,15:01:06.102696,-1,-2.936935478500459
1,15:00:48.091218,15:01:06.305348,-1,-11.982523540475018
1,15:00:48.091218,15:01:06.520679,-1,-2.2298056822189367
1,15:00:48.091218,15:01:06.766899,-1,-3.5207958032919735
1,15:00:48.091218,15:01:07.061555,-1,-10.068157246633508
1,15:00:48.091218,15:01:07.271677,-1,-3.2426507853379576
1,15:00:48.091218,15:01:07.565805,-1,-2.544073041640472
1,15:00:48.091218,15:01:07.855818,-1,-3.8266502125668738
1,15:00:48.091218,15:01:08.153999,-1,-100
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:01:08.178368,15:01:10.798967,1,-0.40880085740066646
2,15:01:08.178368,15:01:11.123020,1,-0.7303363176392736
2,15:01:08.178368,15:01:11.666116,1,-2.6422143472625406
2,15:01:08.178368,15:01:11.990324,1,-3.8655776526559746
2,15:01:08.178368,15:01:12.306786,1,-1.2290620697734653
2,15:01:08.178368,15:01:12.510506,-1,-3.3820330175516515
2,15:01:08.178368,15:01:12.803255,-1,-2.0677715032513957
2,15:01:08.178368,15:01:13.091197,-1,-3.530526102452387
2,15:01:08.178368,15:01:13.312739,-1,-3.4941333545310043
2,15:01:08.178368,15:01:13.623025,-1,-2.9559745467122864
2,15:01:08.178368,15:01:13.916916,-1,-4.296204492696449
2,15:01:08.178368,15:01:14.208400,-1,0.008457596274042772
2,15:01:08.178368,15:01:14.500239,-1,-2.359188190421803
2,15:01:08.178368,15:01:14.919824,-1,-1.401813253791886
2,15:01:08.178368,15:01:15.207046,1,-6.652265646614569
2,15:01:08.178368,15:01:15.498449,1,-7.855064619766654
2,15:01:08.178368,15:01:15.711545,-1,-6.836713837340244
2,15:01:08.178368,15:01:16.009498,-1,-3.9440856074239603
2,15:01:08.178368,15:01:16.168631,-1,-4.308562074082022
2,15:01:08.178368,15:01:16.464006,-1,-0.6063215272746152
2,15:01:08.178368,15:01:16.685221,1,-2.439827519285386
2,15:01:08.178368,15:01:17.030317,-1,-2.9959050720323988
2,15:01:08.178368,15:01:17.348062,1,-3.3505646786792043
2,15:01:08.178368,15:01:17.572485,1,-3.3300013081223185
2,15:01:08.178368,15:01:17.787025,1,-3.6632113152585064
2,15:01:08.178368,15:01:18.035993,1,-3.948293706842803
2,15:01:08.178368,15:01:18.332201,1,-4.516385435741113
2,15:01:08.178368,15:01:18.625406,1,-4.706668934377006
2,15:01:08.178368,15:01:18.862122,1,-4.956202913487657
2,15:01:08.178368,15:01:19.152393,1,-5.381939859526056
2,15:01:08.178368,15:01:19.688457,1,-6.414601900510575
2,15:01:08.178368,15:01:19.981278,1,-6.649226245477762
2,15:01:08.178368,15:01:20.274877,1,-7.0695877489423244
2,15:01:08.178368,15:01:20.489311,1,-7.202391989708615
2,15:01:08.178368,15:01:20.785760,1,-7.560871380418376
2,15:01:08.178368,15:01:21.076991,1,-8.099649925878138
2,15:01:08.178368,15:01:21.371584,1,-8.49208738656378
2,15:01:08.178368,15:01:21.658273,1,-8.711335886408703
2,15:01:08.178368,15:01:21.948088,1,-9.1225492063256
2,15:01:08.178368,15:01:22.241068,1,-9.468423141293469
2,15:01:08.178368,15:01:22.546810,1,-9.801624862095222
2,15:01:08.178368,15:01:22.835416,1,-10.059885846316005
2,15:01:08.178368,15:01:23.129499,1,-10.456995711490576
2,15:01:08.178368,15:01:23.420728,1,-10.624679747346162
2,15:01:08.178368,15:01:23.720310,1,-11.021332789001944
2,15:01:08.178368,15:01:23.933381,1,-11.287239080905719
2,15:01:08.178368,15:01:24.158284,1,-11.49265947434631
2,15:01:08.178368,15:01:24.459454,1,-11.945449348826882
2,15:01:08.178368,15:01:24.691755,1,-12.107271626738592
2,15:01:08.178368,15:01:24.986067,1,-12.61375671714134
2,15:01:08.178368,15:01:25.210911,1,-13.036426528734209
2,15:01:08.178368,15:01:25.446525,1,-13.116808995679234
2,15:01:08.178368,15:01:25.745159,1,-13.893004855443591
2,15:01:08.178368,15:01:25.989617,1,-14.325297566903513
2,15:01:08.178368,15:01:26.287536,1,-15.299038000157251
2,15:01:08.178368,15:01:26.466152,1,-15.692393023084746
2,15:01:08.178368,15:01:26.695176,1,-16.014393503687785
2,15:01:08.178368,15:01:26.919747,1,-16.485162939739695
2,15:01:08.178368,15:01:27.142136,1,-100
